
Starting...
Startup is complete
***
Start calibration:
Place the load cell an a level stable surface.
Remove any load applied to the load cell.
Send 't' from serial monitor to set the tare offset.
Tare complete
Now, place your known mass on the loadcell.
Then send the weight of this mass (i.e. 100.0) from serial monitor.
Known mass is: 3750.00
New calibration value has been set to: 113.35, use this as calibration value (calFactor) in your project sketch.
Save this value to EEPROM adress 0? y/n
Value 113.35 saved to EEPROM address: 0
End calibration
***
To re-calibrate, send 'r' from serial monitor.
For manual edit of the calibration value, send 'c' from serial monitor.
***
Load_cell output val: 3749.99
Load_cell output val: 3749.98
Load_cell output val: 3749.96
Load_cell output val: 3749.97
Load_cell output val: 3750.00
Load_cell output val: 3750.04
Load_cell output val: 3750.02
Load_cell output val: 3749.97
Load_cell output val: 3749.96
Load_cell output val: 3749.98
Load_cell output val: 3750.02
Load_cell output val: 3750.04
Load_cell output val: 3750.04
Load_cell output val: 3750.04
Load_cell output val: 3750.04
Load_cell output val: 3750.00
Load_cell output val: 3749.96
Load_cell output val: 3749.93
Load_cell output val: 3749.96
Load_cell output val: 3749.97
Load_cell output val: 3749.99
Load_cell output val: 3749.98
Load_cell output val: 3749.95
Load_cell output val: 3749.90
Load_cell output val: 3749.89
Load_cell output val: 3749.90
Load_cell output val: 3749.90
Load_cell output val: 3749.88
Load_cell output val: 3749.85
Load_cell output val: 3749.84
Load_cell output val: 3749.83
Load_cell output val: 3749.81
Load_cell output val: 3749.78
Load_cell output val: 3749.80
Load_cell output val: 3749.83
Load_cell output val: 3749.85
Load_cell output val: 3749.85
Load_cell output val: 3749.85
Load_cell output val: 3749.84
Load_cell output val: 3749.86
Load_cell output val: 3749.88
Load_cell output val: 3749.89
Load_cell output val: 3749.91
Load_cell output val: 3749.92
Load_cell output val: 3749.94
Load_cell output val: 3749.94
Load_cell output val: 3749.93
Load_cell output val: 3749.91
Load_cell output val: 3749.89
Load_cell output val: 3749.91
Load_cell output val: 3749.92
Load_cell output val: 3749.93
Load_cell output val: 3749.92
Load_cell output val: 3749.91
Load_cell output val: 3749.93
Load_cell output val: 3749.93
Load_cell output val: 3749.92
Load_cell output val: 3749.89
Load_cell output val: 3749.90
Load_cell output val: 3749.93
Load_cell output val: 3749.94
Load_cell output val: 3749.93
Load_cell output val: 3749.89
Load_cell output val: 3749.88
Load_cell output val: 3749.86
Load_cell output val: 3749.89
Load_cell output val: 3749.94
Load_cell output val: 3749.96
Load_cell output val: 3749.96
Load_cell output val: 3749.89
Load_cell output val: 3749.46
Load_cell output val: 3749.51
Load_cell output val: 3750.12
Load_cell output val: 3749.52
Load_cell output val: 3746.10
Load_cell output val: 3737.64
Load_cell output val: 3720.13
Load_cell output val: 3676.09
Load_cell output val: 3572.14
Load_cell output val: 3413.01
Load_cell output val: 3197.45
Load_cell output val: 2963.81
Load_cell output val: 2729.29
Load_cell output val: 2494.92
Load_cell output val: 2260.51
Load_cell output val: 2026.10
Load_cell output val: 1791.78
Load_cell output val: 1558.26
Load_cell output val: 1327.09
Load_cell output val: 1095.32
Load_cell output val: 864.82
Load_cell output val: 639.00
Load_cell output val: 422.20
Load_cell output val: 231.89
Load_cell output val: 101.50
Load_cell output val: 26.30
Load_cell output val: 7.55
Load_cell output val: 4.35
Load_cell output val: 3.72
Load_cell output val: 3.93
Load_cell output val: 3.96
Load_cell output val: 3.93
Load_cell output val: 3.94
Load_cell output val: 3.96
Load_cell output val: 3.94
Load_cell output val: 3.56
Load_cell output val: 0.99
Load_cell output val: 0.57
Load_cell output val: 0.54
Load_cell output val: 0.49
Load_cell output val: 0.46
Load_cell output val: 0.45
Load_cell output val: 0.43
Load_cell output val: 0.43
Load_cell output val: 0.41
Load_cell output val: 0.41
Load_cell output val: 0.40
Load_cell output val: 0.37
Load_cell output val: 0.38
Load_cell output val: 0.38
Load_cell output val: 0.38
Load_cell output val: 0.38
Load_cell output val: 0.39
Load_cell output val: 0.36
Load_cell output val: 0.34
Load_cell output val: 0.34
Load_cell output val: 0.35
Load_cell output val: 0.38
Load_cell output val: 0.40
Load_cell output val: 0.38
Load_cell output val: 0.37
Load_cell output val: 0.35
Load_cell output val: 0.34
Load_cell output val: 0.33
Load_cell output val: 0.32
Load_cell output val: 0.30
Load_cell output val: 0.28
Load_cell output val: 0.29
Load_cell output val: 0.27
Load_cell output val: 0.26
Load_cell output val: 0.25
Load_cell output val: 0.23
Load_cell output val: 0.23
Load_cell output val: 0.24
Load_cell output val: 0.23
Load_cell output val: 0.20
Load_cell output val: 0.19
Load_cell output val: 0.20
Load_cell output val: 0.22
Load_cell output val: 0.24
Load_cell output val: 0.22
Load_cell output val: 0.20
Load_cell output val: 0.19
Load_cell output val: 0.19
Load_cell output val: 0.20
Load_cell output val: 0.19
Load_cell output val: 0.19
Load_cell output val: 0.17
Load_cell output val: 0.16
Load_cell output val: 0.19
Load_cell output val: 0.19
Load_cell output val: 0.16
Load_cell output val: 0.12
Load_cell output val: 0.13
Load_cell output val: 0.13
Load_cell output val: 0.12
Load_cell output val: 0.11
Load_cell output val: 0.09
Load_cell output val: 0.10
Load_cell output val: 0.11
Load_cell output val: 0.14
Load_cell output val: 0.16
Load_cell output val: 0.14
Load_cell output val: 0.15
Load_cell output val: 0.17
Load_cell output val: 0.18
Load_cell output val: 0.19
Load_cell output val: 0.19
Load_cell output val: 0.19
Load_cell output val: 0.20
Load_cell output val: 0.23
Load_cell output val: 0.22
Load_cell output val: 0.22
Load_cell output val: 0.22
Load_cell output val: 0.24
Load_cell output val: 0.24
Load_cell output val: 0.24
Load_cell output val: 0.23
Load_cell output val: 0.21
Load_cell output val: 0.20
Load_cell output val: 0.20
Load_cell output val: 0.19
Load_cell output val: 0.19
Load_cell output val: 0.19
Load_cell output val: 0.19
Load_cell output val: 0.19
Load_cell output val: 0.16
Load_cell output val: 0.14
Load_cell output val: 0.11
Load_cell output val: 0.10
Load_cell output val: 0.12
Load_cell output val: 0.12
Load_cell output val: 0.11
Load_cell output val: 0.09
Load_cell output val: 0.09
Load_cell output val: 0.10
Load_cell output val: 0.11
Load_cell output val: 0.10
Load_cell output val: 0.10
Load_cell output val: 0.10
Load_cell output val: 0.11
Load_cell output val: 0.14
Load_cell output val: 0.13
Load_cell output val: 0.12
Load_cell output val: 0.14
Load_cell output val: 0.16
Load_cell output val: 0.17
Load_cell output val: 0.16
Load_cell output val: 0.12
Load_cell output val: 0.11
Load_cell output val: 0.10
Load_cell output val: 0.10
Load_cell output val: 0.08
Load_cell output val: 0.07
Load_cell output val: 0.08
Load_cell output val: 0.08
Load_cell output val: 0.07
Load_cell output val: 0.08
Load_cell output val: 0.05
Load_cell output val: 0.04
Load_cell output val: 0.04
Load_cell output val: 0.03
Load_cell output val: 0.00
Load_cell output val: -0.03
Load_cell output val: -0.04
Load_cell output val: -0.03
Load_cell output val: -0.02
Load_cell output val: -0.03
Load_cell output val: -0.03
Load_cell output val: -0.03
Load_cell output val: -0.03
Load_cell output val: -0.04
Load_cell output val: -0.06
Load_cell output val: -0.05
Load_cell output val: -0.03
Load_cell output val: -0.02
Load_cell output val: 0.01
Load_cell output val: 0.02
Load_cell output val: 0.00
Load_cell output val: 0.02
Load_cell output val: 0.04
Load_cell output val: 0.09
Load_cell output val: 0.11
Load_cell output val: 0.11
Load_cell output val: 0.11
Load_cell output val: 0.14
Load_cell output val: 0.17
Load_cell output val: 0.18
Load_cell output val: 0.18
Load_cell output val: 0.19
Load_cell output val: 0.19
Load_cell output val: 0.17
Load_cell output val: 0.16
Load_cell output val: 0.15
Load_cell output val: 0.12
Load_cell output val: 0.11
Load_cell output val: 0.12
Load_cell output val: 0.13
Load_cell output val: 0.12
Load_cell output val: 0.12
Load_cell output val: 0.13
Load_cell output val: 0.13
Load_cell output val: 0.12
Load_cell output val: 0.12
Load_cell output val: 0.11
Load_cell output val: 0.11
Load_cell output val: 0.11
Load_cell output val: 0.11
Load_cell output val: 0.11
Load_cell output val: 0.10
Load_cell output val: 0.08
Load_cell output val: 0.08
Load_cell output val: 0.08
Load_cell output val: 0.06
Load_cell output val: 0.04
Load_cell output val: 0.02
Load_cell output val: 0.00
Load_cell output val: -0.02
Load_cell output val: -0.04
Load_cell output val: -0.06
Load_cell output val: -0.07
Load_cell output val: -0.09
Load_cell output val: -0.08
Load_cell output val: -0.06
Load_cell output val: -0.06
Load_cell output val: -0.06
Load_cell output val: -0.04
Load_cell output val: -0.03
Load_cell output val: -0.01
Load_cell output val: -0.03
Load_cell output val: -0.03
Load_cell output val: 0.01
Load_cell output val: 0.04
Load_cell output val: 0.05
Load_cell output val: 0.06
Load_cell output val: 0.08
Load_cell output val: 0.08
Load_cell output val: 0.09
Load_cell output val: 0.11
Load_cell output val: 0.10
Load_cell output val: 0.09
Load_cell output val: 0.06
Load_cell output val: 0.05
Load_cell output val: 0.06
Load_cell output val: 0.05
Load_cell output val: 0.05
Load_cell output val: 0.06
Load_cell output val: 0.08
Load_cell output val: 0.08
Load_cell output val: 0.05
Load_cell output val: 0.04
Load_cell output val: 0.05
Load_cell output val: 0.05
Load_cell output val: 0.04
Load_cell output val: 0.04
Load_cell output val: 0.06
Load_cell output val: 0.05
Load_cell output val: 0.06
Load_cell output val: 0.05
Load_cell output val: 0.05
Load_cell output val: 0.04
Load_cell output val: 0.01
Load_cell output val: 0.02
Load_cell output val: 0.02
Load_cell output val: -0.01
Load_cell output val: -0.02
Load_cell output val: -0.04
Load_cell output val: -0.04
Load_cell output val: -0.05
Load_cell output val: -0.08
Load_cell output val: -0.09
Load_cell output val: -0.09
Load_cell output val: -0.10
Load_cell output val: -0.10
Load_cell output val: -0.10
Load_cell output val: -0.10
Load_cell output val: -0.09
Load_cell output val: -0.10
Load_cell output val: -0.10
Load_cell output val: -0.08
Load_cell output val: -0.08
Load_cell output val: -0.08
Load_cell output val: -0.07
Load_cell output val: -0.07
