min:s.ms g
5:24.540 715.29
5:24.623 715.28
5:24.705 715.25
5:24.808 715.25
5:24.874 715.25
5:24.974 715.22
5:25.057 715.22
5:25.140 715.22
5:25.221 715.22
5:25.306 715.25
5:25.407 715.27
5:25.539 715.28
5:25.573 715.32
5:25.689 715.31
5:25.757 715.32
5:25.839 715.32
5:25.939 715.34
5:26.022 715.36
5:26.105 715.39
5:26.172 715.42
5:26.305 715.41
5:26.355 715.40
5:26.472 715.43
5:26.540 715.48
5:26.622 715.50
5:26.722 715.51
5:26.806 715.52
5:26.888 715.50
5:26.988 715.47
5:27.071 715.44
5:27.155 715.43
5:27.237 715.44
5:27.320 715.45
5:27.404 715.46
5:27.504 715.46
5:27.587 715.45
5:27.654 715.43
5:27.771 715.45
5:27.854 715.48
5:27.949 715.50
5:28.035 715.49
5:28.117 715.46
5:28.187 715.43
5:28.287 715.41
5:28.369 715.40
5:28.487 715.43
5:28.553 715.46
5:28.636 715.50
5:28.719 715.52
5:28.835 715.54
5:28.886 715.53
5:28.986 715.54
5:29.069 715.55
5:29.152 715.53
5:29.268 715.53
5:29.336 715.52
5:29.419 715.51
5:29.485 715.49
5:29.618 715.48
5:29.685 715.46
5:29.768 715.48
5:29.835 715.49
5:29.951 715.50
5:30.018 715.50
5:30.134 715.47
5:30.217 715.44
5:30.301 715.43
5:30.351 715.42
5:30.467 715.42
5:30.550 715.42
5:30.667 715.43
5:30.702 715.44
5:30.800 715.45
5:30.916 715.46
5:30.985 715.47
5:31.067 715.50
5:31.168 715.52
5:31.249 715.53
5:31.317 715.51
5:31.433 715.50
5:31.517 715.48
5:31.600 715.47
5:31.666 715.49
5:31.799 715.51
5:31.834 715.53
5:31.932 715.56
5:32.048 715.56
5:32.117 715.58
5:32.232 715.58
5:32.282 715.57
5:32.365 715.53
5:32.478 715.52
5:32.550 715.55
5:32.632 715.55
5:32.715 715.53
5:32.815 715.50
5:32.899 715.50
5:32.980 715.53
5:33.064 715.58
5:33.165 715.60
5:33.245 715.62
5:33.331 715.62
5:33.397 715.58
5:33.501 715.56
5:33.592 715.55
5:33.684 715.52
5:33.767 715.51
5:33.863 715.52
5:33.946 715.56
5:34.030 715.58
5:34.146 715.56
5:34.192 715.52
5:34.279 715.51
5:34.364 715.54
5:34.465 715.56
5:34.548 715.56
5:34.646 715.55
5:34.729 715.56
5:34.811 715.56
5:34.929 715.57
5:34.977 715.59
5:35.079 715.59
5:35.163 715.62
5:35.247 715.63
5:35.330 715.63
5:35.445 715.62
5:35.512 715.58
5:35.596 715.57
5:35.695 715.55
5:35.778 715.55
5:35.846 715.56
5:35.962 715.54
5:36.044 715.54
5:36.111 715.54
5:36.191 715.54
5:36.277 715.53
5:36.394 715.50
5:36.461 715.50
5:36.561 715.50
5:36.644 715.49
5:36.727 715.47
5:36.810 715.46
5:36.877 715.47
5:37.010 715.47
5:37.077 715.47
5:37.160 715.46
5:37.244 715.47
5:37.326 715.50
5:37.427 715.51
5:37.510 715.55
5:37.626 715.56
5:37.709 715.54
5:37.792 715.51
5:37.859 715.50
5:37.943 715.53
5:38.025 715.52
5:38.109 715.54
5:38.209 715.58
5:38.292 715.60
5:38.359 715.60
5:38.458 715.61
5:38.575 715.62
5:38.642 715.65
5:38.725 715.68
5:38.825 715.68
5:38.908 715.65
5:38.991 715.61
5:39.074 715.59
5:39.175 715.62
5:39.258 715.65
5:39.340 715.65
5:39.457 715.64
5:39.525 715.63
5:39.607 715.62
5:39.690 715.59
5:39.773 715.55
5:39.857 715.51
5:39.940 715.51
5:40.040 715.47
5:40.157 715.44
5:40.240 715.43
5:40.307 715.43
5:40.390 715.45
5:40.473 715.50
5:40.556 715.51
5:40.639 715.50
5:40.722 715.49
5:40.823 715.48
5:40.906 715.49
5:40.989 715.50
5:41.072 715.50
5:41.173 715.50
5:41.257 715.51
5:41.322 715.55
5:41.455 715.57
5:41.538 715.58
5:41.605 715.60
5:41.720 715.60
5:41.805 715.58
5:41.872 715.58
5:41.972 715.56
5:42.055 715.53
5:42.155 715.51
5:42.221 715.50
5:42.305 715.50
5:42.387 715.49
5:42.504 715.47
5:42.571 715.45
5:42.654 715.43
5:42.737 715.43
5:42.837 715.42
5:42.920 715.39
5:42.987 715.36
5:43.070 715.35
5:43.153 715.36
5:43.270 715.38
5:43.337 715.39
5:43.420 715.40
5:43.503 715.43
5:43.596 715.45
5:43.724 715.48
5:43.786 715.48
5:43.869 715.48
5:43.985 715.50
5:44.053 715.49
5:44.136 715.49
5:44.219 715.52
5:44.320 715.52
5:44.402 715.55
5:44.486 715.58
5:44.568 715.58
5:44.669 715.58
5:44.752 715.58
5:44.819 715.60
5:44.918 715.60
5:44.985 715.59
5:45.085 715.60
5:45.185 715.60
5:45.267 715.58
5:45.335 715.58
5:45.434 715.58
5:45.534 715.58
5:45.617 715.60
5:45.702 715.60
5:45.784 715.59
5:45.851 715.62
5:45.951 715.62
5:46.050 715.60
5:46.117 715.59
5:46.217 715.58
5:46.317 715.57
5:46.400 715.55
5:46.483 715.54
5:46.583 715.53
5:46.650 715.51
5:46.766 715.49
5:46.833 715.50
5:46.900 715.51
5:47.016 715.50
5:47.099 715.52
5:47.167 715.53
5:47.282 715.51
5:47.349 715.45
5:47.465 715.17
5:47.515 715.20
5:47.615 715.41
5:47.690 715.78
5:47.815 715.13
5:47.882 715.48
5:47.965 716.94
5:48.048 716.75
5:48.164 714.72
5:48.213 715.48
5:48.298 717.21
5:48.397 716.53
5:48.514 714.59
5:48.581 715.73
5:48.649 717.08
5:48.747 716.03
5:48.848 714.57
5:48.931 716.19
5:48.997 718.27
5:49.097 716.60
5:49.180 713.94
5:49.296 715.14
5:49.363 718.26
5:49.430 716.27
5:49.530 713.72
5:49.613 715.50
5:49.729 718.29
5:49.797 715.64
5:49.879 713.59
5:49.980 715.86
5:50.046 718.49
5:50.146 715.45
5:50.229 713.88
5:50.296 716.48
5:50.396 718.40
5:50.512 714.98
5:50.595 713.75
5:50.662 716.90
5:50.746 718.23
5:50.827 714.63
5:50.911 714.03
5:50.994 717.30
5:51.096 717.97
5:51.178 714.40
5:51.261 714.28
5:51.344 717.77
5:51.473 717.69
5:51.545 714.07
5:51.628 714.44
5:51.711 718.00
5:51.795 717.43
5:51.877 714.02
5:51.960 714.71
5:52.043 718.21
5:52.124 716.93
5:52.246 713.75
5:52.341 714.99
5:52.435 718.35
5:52.469 716.53
5:52.564 713.68
5:52.659 715.37
5:52.742 718.57
5:52.859 716.24
5:52.959 713.78
5:53.026 715.79
5:53.110 718.50
5:53.209 715.70
5:53.292 713.38
5:53.359 715.69
5:53.459 718.27
5:53.554 715.47
5:53.600 713.58
5:53.730 716.30
5:53.808 718.57
5:53.875 715.26
5:53.958 713.73
5:54.041 716.69
5:54.174 718.39
5:54.207 714.83
5:54.325 713.65
5:54.407 716.88
5:54.491 718.16
5:54.574 714.63
5:54.691 713.93
5:54.758 717.30
5:54.824 718.20
5:54.941 714.57
5:55.040 714.20
5:55.123 717.73
5:55.191 718.05
5:55.274 714.31
5:55.357 714.26
5:55.474 717.86
5:55.556 717.82
5:55.623 714.21
5:55.706 714.61
5:55.789 718.22
5:55.906 717.65
5:55.973 714.08
5:56.056 714.76
5:56.139 718.27
5:56.221 717.28
5:56.339 713.89
5:56.406 714.91
5:56.488 718.35
5:56.572 717.00
5:56.655 713.72
5:56.739 715.05
5:56.855 718.44
5:56.938 716.71
5:57.005 713.59
5:57.122 715.18
5:57.204 718.37
5:57.272 716.30
5:57.355 713.51
5:57.455 715.33
5:57.537 718.40
5:57.638 716.04
5:57.720 713.31
5:57.804 715.45
5:57.888 718.32
5:57.971 715.68
5:58.037 713.21
5:58.153 715.50
5:58.236 718.21
5:58.321 715.43
5:58.420 713.08
5:58.503 715.61
5:58.586 718.18
5:58.670 715.22
5:58.753 713.12
5:58.869 715.86
5:58.952 718.20
5:59.036 715.23
5:59.119 713.33
5:59.186 716.24
5:59.319 718.38
5:59.352 715.11
5:59.468 713.41
5:59.584 716.46
5:59.669 718.27
5:59.702 714.94
5:59.818 713.46
5:59.902 716.67
5:59.985 718.31
6:00.068 714.88
6:00.152 713.63
6:00.233 716.93
6:00.349 718.27
6:00.418 714.66
6:00.518 713.57
6:00.601 716.98
6:00.684 718.05
6:00.767 714.40
6:00.850 713.61
6:00.967 717.15
6:01.050 718.02
6:01.100 714.41
6:01.216 713.83
6:01.316 717.42
6:01.400 717.98
6:01.468 714.31
6:01.550 713.95
6:01.650 717.58
6:01.733 717.92
6:01.800 714.16
6:01.900 713.97
6:01.966 717.69
6:02.067 717.81
6:02.149 714.16
6:02.265 714.21
6:02.333 717.89
6:02.416 717.76
6:02.532 714.01
6:02.581 714.29
6:02.665 717.93
6:02.765 717.57
6:02.865 713.90
6:02.932 714.33
6:03.015 718.04
6:03.115 717.46
6:03.198 713.88
6:03.298 714.55
6:03.366 718.15
6:03.481 717.42
6:03.561 713.86
6:03.655 714.70
6:03.737 718.31
6:03.830 717.30
6:03.897 713.80
6:03.997 714.75
6:04.064 718.32
6:04.147 717.09
6:04.247 713.71
6:04.330 714.89
6:04.414 718.39
6:04.513 717.05
6:04.580 713.63
6:04.679 714.93
6:04.780 718.33
6:04.846 716.81
6:04.946 713.57
6:05.014 715.05
6:05.130 718.35
6:05.212 716.64
6:05.329 713.39
6:05.379 715.11
6:05.461 718.41
6:05.562 716.55
6:05.646 713.42
6:05.729 715.27
6:05.811 718.50
6:05.895 716.38
6:05.977 713.41
6:06.061 715.36
6:06.178 718.35
6:06.246 716.20
6:06.344 713.26
6:06.427 715.31
6:06.511 718.35
6:06.594 716.02
6:06.677 713.22
6:06.778 715.40
6:06.861 718.34
6:06.944 715.83
6:07.043 713.11
6:07.111 715.48
6:07.209 718.20
6:07.293 715.59
6:07.376 713.00
6:07.460 715.49
6:07.561 718.23
6:07.660 715.47
6:07.743 713.04
6:07.810 715.55
6:07.909 718.16
6:07.976 715.36
6:08.060 712.99
6:08.176 715.71
6:08.259 718.18
6:08.342 715.31
6:08.459 713.03
6:08.527 715.80
6:08.592 718.14
6:08.708 715.20
6:08.776 713.12
6:08.859 716.03
6:08.959 718.21
6:09.041 715.19
6:09.109 713.19
6:09.219 716.24
6:09.308 718.31
6:09.375 715.11
6:09.474 713.26
6:09.541 716.34
6:09.674 718.28
6:09.741 715.04
6:09.824 713.39
6:09.907 716.54
6:10.008 718.36
6:10.075 714.98
6:10.157 713.48
6:10.240 716.68
6:10.323 718.33
6:10.424 714.87
6:10.506 713.52
6:10.639 716.82
6:10.707 718.35
6:10.773 714.89
6:10.856 713.66
6:10.973 717.06
6:11.056 718.44
6:11.140 714.90
6:11.222 713.77
6:11.305 717.23
6:11.389 718.40
6:11.489 714.82
6:11.572 713.83
6:11.639 717.30
6:11.738 718.35
6:11.839 714.68
6:11.939 713.82
6:12.021 717.37
6:12.089 718.20
6:12.172 714.58
6:12.256 713.92
6:12.339 717.49
6:12.422 718.19
6:12.522 714.49
6:12.605 713.97
6:12.688 717.59
6:12.772 718.11
6:12.872 714.39
6:12.955 714.08
6:13.038 717.78
6:13.122 717.12
6:13.238 713.78
6:13.321 715.00
6:13.388 717.89
6:13.471 715.88
6:13.552 714.73
6:13.645 716.10
6:13.725 716.90
6:13.819 715.48
6:13.921 715.76
6:13.988 715.85
6:14.104 715.68
6:14.171 716.46
6:14.254 716.56
6:14.337 714.61
6:14.437 715.87
6:14.520 717.54
6:14.602 715.65
6:14.703 714.25
6:14.786 717.28
6:14.853 716.89
6:14.953 714.09
6:15.036 715.96
6:15.136 717.45
6:15.219 715.14
6:15.302 714.43
6:15.386 717.37
6:15.486 716.53
6:15.552 713.81
6:15.652 716.17
6:15.732 717.16
6:15.868 714.52
6:15.902 714.56
6:16.018 717.17
6:16.085 715.96
6:16.168 713.75
6:16.251 716.57
6:16.368 717.15
6:16.451 714.40
6:16.518 715.15
6:16.601 717.45
6:16.717 715.91
6:16.801 714.07
6:16.884 717.04
6:16.951 717.03
6:17.067 714.22
6:17.151 715.65
6:17.233 717.45
6:17.317 715.50
6:17.384 714.23
6:17.500 717.22
6:17.567 716.81
6:17.682 714.04
6:17.732 716.12
6:17.816 717.45
6:17.899 715.13
6:18.000 714.52
6:18.116 717.31
6:18.216 716.47
6:18.282 713.87
6:18.365 716.25
6:18.465 717.23
6:18.515 714.71
6:18.632 714.78
6:18.709 717.39
6:18.782 716.16
6:18.898 713.98
6:18.965 716.76
6:19.032 717.20
6:19.164 714.49
6:19.248 715.26
6:19.315 717.45
6:19.381 715.78
6:19.514 713.97
6:19.597 716.99
6:19.665 717.02
6:19.747 714.19
6:19.864 715.65
6:19.898 717.46
6:19.997 715.43
6:20.080 714.22
6:20.181 717.18
6:20.280 716.71
6:20.347 713.94
6:20.447 715.96
6:20.530 717.37
6:20.646 715.02
6:20.729 714.43
6:20.813 717.31
6:20.896 716.40
6:20.963 713.86
6:21.043 716.29
6:21.146 717.15
6:21.229 714.55
6:21.312 714.70
6:21.395 717.28
6:21.479 716.05
6:21.579 713.88
6:21.679 716.70
6:21.762 717.15
6:21.845 714.42
6:21.928 715.28
6:22.045 717.54
6:22.094 715.88
6:22.178 714.14
6:22.261 717.12
6:22.377 717.00
6:22.445 714.19
6:22.527 715.76
6:22.644 717.53
6:22.727 715.45
6:22.794 714.26
6:22.877 717.24
6:22.994 716.77
6:23.077 713.93
6:23.144 716.03
6:23.244 717.32
6:23.311 714.90
6:23.410 714.40
6:23.491 717.23
6:23.575 716.27
6:23.660 713.72
6:23.743 716.25
6:23.825 717.11
6:23.943 714.47
6:24.011 714.75
6:24.092 717.31
6:24.175 715.93
6:24.276 713.85
6:24.359 716.75
6:24.459 717.09
6:24.525 714.23
6:24.641 715.28
6:24.724 717.40
6:24.792 715.65
6:24.874 713.99
6:24.992 717.05
6:25.040 716.93
6:25.157 714.06
6:25.239 715.73
6:25.340 717.40
6:25.391 715.21
6:25.490 714.25
6:25.606 717.21
6:25.690 716.59
6:25.758 713.87
