microsec deg hall1 hall2 accelX accelY
121499268 0 576 654 1.92 7.39
121564792 0 576 654 1.90 7.42
121630308 0 575 655 1.85 7.39
121695832 0 576 654 1.82 7.39
121761348 0 576 655 1.80 7.37
121826868 0 575 654 1.76 7.35
121892388 0 576 655 1.76 7.34
121957908 0 576 655 1.76 7.36
122023428 0 575 654 1.76 7.38
122088948 0 575 655 1.78 7.35
122154468 0 576 655 1.81 7.39
122219988 0 575 654 1.82 7.36
122285508 0 576 655 1.88 7.40
122351028 0 576 655 1.89 7.41
122416552 0 576 654 1.88 7.41
122482068 0 576 654 1.90 7.43
122547592 0 576 655 1.89 7.44
122613108 0 576 655 1.89 7.41
122678632 0 576 655 1.87 7.40
122744148 0 575 655 1.84 7.41
122809672 0 576 654 1.81 7.39
122875188 0 576 655 1.79 7.37
122940708 0 576 655 1.78 7.35
123006232 0 575 655 1.76 7.36
123071752 0 575 654 1.74 7.34
123137276 0 576 654 1.76 7.35
123202792 0 576 655 1.80 7.36
123268316 0 575 654 1.82 7.39
123333840 0 576 654 1.83 7.38
123399360 0 575 655 1.88 7.40
123464880 0 576 655 1.89 7.41
123530400 0 576 655 1.90 7.41
123595920 0 576 655 1.91 7.43
123661440 0 576 655 1.90 7.43
123726956 0 575 655 1.88 7.43
123792480 0 576 655 1.86 7.38
123858000 0 576 654 1.83 7.40
123923520 0 575 654 1.79 7.38
123989040 0 575 655 1.78 7.36
124054560 0 576 655 1.76 7.36
124120080 0 575 655 1.76 7.34
124185592 0 576 655 1.76 7.33
124251112 0 575 654 1.76 7.35
124316632 0 575 654 1.77 7.37
124382152 0 576 655 1.82 7.38
124447672 0 576 655 1.85 7.39
124513192 0 576 655 1.87 7.41
124578712 0 575 654 1.91 7.43
124644232 0 576 655 1.91 7.41
124709752 0 575 654 1.90 7.45
124775276 0 576 655 1.89 7.42
124840792 0 575 654 1.85 7.42
124906312 0 576 654 1.84 7.43
124971832 0 575 654 1.82 7.38
125037348 0 575 655 1.79 7.35
125102868 0 575 655 1.78 7.34
125168388 0 575 654 1.77 7.35
125233908 0 575 654 1.77 7.34
125299432 0 575 654 1.76 7.35
125364948 0 575 655 1.78 7.37
125430472 0 575 654 1.81 7.38
125495988 0 575 653 1.85 7.38
125561508 0 575 655 1.85 7.41
125627032 0 576 654 1.88 7.41
125692548 0 576 654 1.92 7.43
125758072 0 574 654 1.93 7.42
125823588 0 575 654 1.91 7.42
125889112 0 575 654 1.89 7.38
125954628 0 575 654 1.89 7.38
126020148 0 575 654 1.83 7.38
126085672 0 575 654 1.80 7.37
126151188 0 575 654 1.80 7.37
126216712 0 575 654 1.80 7.37
126282228 0 575 654 1.77 7.36
126347752 0 575 654 1.76 7.34
126413268 0 575 654 1.77 7.38
126478792 0 575 654 1.78 7.36
126544308 0 575 654 1.81 7.38
126609832 0 575 654 1.84 7.41
126675348 0 575 654 1.85 7.41
126740868 0 575 654 1.88 7.41
126806388 0 575 654 1.89 7.42
126871908 0 575 654 1.90 7.41
126937428 0 574 654 1.92 7.42
127002948 0 575 654 1.89 7.40
127068472 0 575 655 1.87 7.39
127133988 0 575 655 1.83 7.38
127199512 0 574 654 1.81 7.37
127265036 0 575 655 1.77 7.35
127330556 0 575 654 1.76 7.36
127396076 0 574 654 1.76 7.33
127461596 0 575 654 1.76 7.37
127527120 0 575 654 1.77 7.36
127592640 0 575 654 1.81 7.40
127658160 0 575 654 1.81 7.39
127723680 0 575 654 1.84 7.39
127789200 0 574 654 1.87 7.41
127854720 0 575 654 1.89 7.41
127920240 0 575 654 1.89 7.40
127985760 0 575 654 1.90 7.40
128051280 0 575 654 1.90 7.41
128116800 0 575 654 1.87 7.41
128234204 2 574 654 1.84 0.00
128366788 8 31457 0 0.00 0.00
128392272 8 -10486 0 7.37 0.00
128506992 11 654 28836 7.32 1.76
128584544 13 10486 0 0.00 0.00
128665252 14 -31457 0 0.00 0.00
128700664 14 -2621 0 7.37 0.00
128755628 14 654 -20972 7.42 0.00
128825308 14 654 -13107 7.41 0.00
128894996 14 5243 7864 0.00 0.00
128963632 14 13107 7864 0.00 0.00
129033316 14 31457 -13107 0.00 1.93
129105076 14 -13107 575 0.00 1.89
129174752 14 28836 575 0.00 1.88
129243384 14 7864 575 0.00 1.86
129310992 14 31457 575 0.00 1.84
129379624 14 -10486 575 0.00 1.81
129449304 14 13107 575 0.00 1.79
129517944 14 10486 575 0.00 1.77
129586584 14 -10486 575 0.00 1.76
129656264 14 -7864 575 0.00 1.76
129776820 17 13107 575 0.00 0.00
129854320 20 654 0 7.39 0.00
129931680 25 654 0 7.40 0.00
130009048 28 654 0 7.40 0.00
130086388 29 654 0 7.41 0.00
130111844 29 654 0 1.91 7.42
130171556 29 575 655 1.91 7.40
130238112 29 575 655 1.90 7.40
130304672 29 575 654 1.89 7.40
130423116 28 575 654 1.87 0.00
130451952 28 -20972 0 7.28 0.00
130513484 28 654 -10486 7.41 0.00
130583156 28 654 -28836 7.34 0.00
130652840 28 18350 15729 0.00 1.76
130723568 28 -10486 574 0.00 1.76
130793248 28 -10486 575 0.00 1.76
130862932 28 31457 575 0.00 1.81
130931572 28 -31457 575 0.00 1.75
131001252 28 0 575 0.00 1.81
131065728 28 -2621 575 0.00 1.95
131134372 28 23593 575 0.00 1.91
131203016 28 7864 575 0.00 1.92
131270612 28 7864 575 0.00 1.92
131390112 25 7864 575 0.00 0.00
131467556 19 654 0 7.38 0.00
131544920 15 654 0 7.33 0.00
131570376 15 654 0 1.75 7.35
131681980 11 575 654 1.83 0.00
131707532 11 654 0 1.82 7.25
131769236 11 575 654 1.76 7.36
131835796 11 574 654 1.78 7.36
131902356 11 575 654 1.79 7.35
132020820 12 574 654 1.80 0.00
132046364 12 -20972 0 7.40 0.00
132111200 12 654 -2621 7.35 0.00
132179836 12 654 -13107 7.45 0.00
132249520 12 31457 -15729 0.00 0.00
132321280 12 -23593 28836 0.00 1.84
132393044 12 5243 575 0.00 1.90
132460644 12 7864 575 0.00 1.83
132528244 12 31457 575 0.00 1.82
132596884 12 7864 574 0.00 1.89
132664484 12 28836 575 0.00 1.77
132733124 12 -23593 574 0.00 1.74
132802796 12 28836 575 0.00 1.78
132871440 12 7864 575 0.00 1.79
