hr:min:s.ms g
17:00:56.687 822.88
17:00:56.769 822.89
17:00:56.850 822.90
17:00:56.941 822.88
17:00:57.025 822.87
17:00:57.150 822.84
17:00:57.191 822.86
17:00:57.307 822.88
17:00:57.391 822.89
17:00:57.474 822.92
17:00:57.558 822.93
17:00:57.658 822.94
17:00:57.740 822.93
17:00:57.823 822.95
17:00:57.908 822.97
17:00:57.991 823.00
17:00:58.073 822.99
17:00:58.191 823.00
17:00:58.258 823.03
17:00:58.340 823.04
17:00:58.423 823.04
17:00:58.506 823.03
17:00:58.589 823.02
17:00:58.673 823.02
17:00:58.790 823.03
17:00:58.873 823.01
17:00:58.957 822.97
17:00:59.039 822.95
17:00:59.122 822.96
17:00:59.205 822.97
17:00:59.289 822.97
17:00:59.372 822.96
17:00:59.491 822.95
17:00:59.573 822.94
17:00:59.656 822.95
17:00:59.738 822.94
17:00:59.821 822.89
17:00:59.932 822.85
17:01:00.005 822.83
17:01:00.087 822.83
17:01:00.188 822.83
17:01:00.271 822.83
17:01:00.356 822.84
17:01:00.437 822.84
17:01:00.521 822.84
17:01:00.604 822.83
17:01:00.687 822.83
17:01:00.770 822.83
17:01:00.887 822.80
17:01:00.971 822.79
17:01:01.038 822.78
17:01:01.120 822.76
17:01:01.204 822.75
17:01:01.321 822.77
17:01:01.403 822.78
17:01:01.486 822.79
17:01:01.569 822.79
17:01:01.653 822.80
17:01:01.736 822.80
17:01:01.819 822.80
17:01:01.902 822.80
17:01:01.987 822.80
17:01:02.069 822.83
17:01:02.186 822.83
17:01:02.269 822.79
17:01:02.352 822.76
17:01:02.435 822.78
17:01:02.518 822.78
17:01:02.602 822.79
17:01:02.685 822.79
17:01:02.768 822.79
17:01:02.885 822.76
17:01:02.968 822.76
17:01:03.051 822.79
17:01:03.134 822.81
17:01:03.218 822.84
17:01:03.301 822.86
17:01:03.384 822.83
17:01:03.467 822.80
17:01:03.551 822.79
17:01:03.692 822.78
17:01:03.734 822.77
17:01:03.817 822.79
17:01:03.900 822.77
17:01:04.019 822.76
17:01:04.108 822.76
17:01:04.200 822.74
17:01:04.283 822.73
17:01:04.366 822.74
17:01:04.439 822.73
17:01:04.516 822.71
17:01:04.599 822.71
17:01:04.726 822.69
17:01:04.767 822.66
17:01:04.882 822.65
17:01:04.966 822.66
17:01:05.049 822.68
17:01:05.132 822.69
17:01:05.216 822.69
17:01:05.299 822.70
17:01:05.382 822.69
17:01:05.500 822.71
17:01:05.582 822.73
17:01:05.665 822.72
17:01:05.748 822.73
17:01:05.831 822.73
17:01:05.915 822.71
17:01:06.028 822.71
17:01:06.115 822.70
17:01:06.198 822.70
17:01:06.264 822.73
17:01:06.348 822.73
17:01:06.448 822.75
17:01:06.531 822.73
17:01:06.613 822.71
17:01:06.697 822.71
17:01:06.780 822.73
17:01:06.881 823.17
17:01:06.964 824.21
17:01:07.047 825.15
17:01:07.130 826.25
17:01:07.213 826.23
17:01:07.331 826.20
17:01:07.413 823.79
17:01:07.496 821.02
17:01:07.579 819.90
17:01:07.646 820.23
17:01:07.763 821.37
17:01:07.846 823.79
17:01:07.896 829.07
17:01:08.012 827.94
17:01:08.095 824.67
17:01:08.179 818.45
17:01:08.262 819.18
17:01:08.345 823.30
17:01:08.449 827.62
17:01:08.545 823.59
17:01:08.612 813.92
17:01:08.695 807.34
17:01:08.796 816.58
17:01:08.895 822.50
17:01:08.978 830.14
17:01:09.061 829.70
17:01:09.145 819.48
17:01:09.228 814.41
17:01:09.311 819.25
17:01:09.394 824.15
17:01:09.477 820.62
17:01:09.561 813.06
17:01:09.644 812.18
17:01:09.760 818.25
17:01:09.844 823.25
17:01:09.926 828.28
17:01:10.010 817.04
17:01:10.093 808.40
17:01:10.177 813.01
17:01:10.260 822.85
17:01:10.343 818.09
17:01:10.460 822.65
17:01:10.543 817.47
17:01:10.626 809.13
17:01:10.709 812.70
17:01:10.791 824.25
17:01:10.895 825.21
17:01:10.994 818.83
17:01:11.076 811.75
17:01:11.159 809.02
17:01:11.242 816.76
17:01:11.325 822.97
17:01:11.409 826.02
17:01:11.538 820.18
17:01:11.576 812.35
17:01:11.659 814.28
17:01:11.767 822.33
17:01:11.858 822.93
17:01:11.941 826.81
17:01:12.025 820.43
17:01:12.113 810.08
17:01:12.220 812.99
17:01:12.261 825.09
17:01:12.374 824.55
17:01:12.457 822.60
17:01:12.541 818.74
17:01:12.623 812.63
17:01:12.704 817.19
17:01:12.793 824.15
17:01:12.875 826.87
17:01:12.994 823.00
17:01:13.041 811.77
17:01:13.157 808.95
17:01:13.240 827.22
17:01:13.324 834.96
17:01:13.406 813.07
17:01:13.491 793.40
17:01:13.574 804.08
17:01:13.657 812.26
17:01:13.739 800.82
17:01:13.858 802.93
17:01:13.906 809.25
17:01:14.007 785.23
17:01:14.089 774.62
17:01:14.206 802.31
17:01:14.273 809.67
17:01:14.355 782.54
17:01:14.439 775.79
17:01:14.522 785.90
17:01:14.656 781.17
17:01:14.705 782.37
17:01:14.788 787.90
17:01:14.872 781.17
17:01:14.982 780.05
17:01:15.067 787.84
17:01:15.157 786.73
17:01:15.240 784.30
17:01:15.322 787.33
17:01:15.405 789.17
17:01:15.485 788.15
17:01:15.610 788.76
17:01:15.658 789.69
17:01:15.740 788.03
17:01:15.855 788.13
17:01:15.954 788.96
17:01:16.037 790.30
17:01:16.124 790.19
17:01:16.204 791.55
17:01:16.285 791.84
17:01:16.367 788.71
17:01:16.485 789.16
17:01:16.554 790.33
17:01:16.633 790.73
17:01:16.703 790.73
17:01:16.821 790.52
17:01:16.904 790.65
17:01:16.988 788.67
17:01:17.071 788.02
17:01:17.154 790.67
17:01:17.236 789.78
17:01:17.319 791.24
17:01:17.414 794.06
17:01:17.501 794.06
17:01:17.586 789.63
17:01:17.670 788.52
17:01:17.748 792.52
17:01:17.872 790.28
17:01:17.920 789.32
17:01:18.020 793.00
17:01:18.103 793.92
17:01:18.186 788.51
17:01:18.305 788.51
17:01:18.385 790.71
17:01:18.457 789.97
17:01:18.534 791.28
17:01:18.654 792.33
17:01:18.735 789.71
17:01:18.817 789.91
17:01:18.900 788.47
17:01:18.983 785.72
17:01:19.067 785.72
17:01:19.150 788.83
17:01:19.233 789.88
17:01:19.352 782.96
17:01:19.400 786.17
17:01:19.517 789.43
17:01:19.600 782.52
17:01:19.683 780.22
17:01:19.766 788.37
17:01:19.844 788.37
17:01:19.933 781.36
17:01:20.016 782.90
17:01:20.099 786.04
17:01:20.182 781.37
17:01:20.299 779.00
17:01:20.382 784.02
17:01:20.465 785.95
17:01:20.550 779.97
17:01:20.632 779.97
17:01:20.715 785.37
17:01:20.798 781.83
17:01:20.915 779.56
17:01:20.981 783.24
17:01:21.083 785.72
17:01:21.165 782.94
17:01:21.248 782.38
17:01:21.352 785.66
17:01:21.399 784.02
17:01:21.514 780.95
17:01:21.597 783.89
17:01:21.681 787.39
17:01:21.764 784.65
17:01:21.848 782.03
17:01:21.930 786.62
17:01:22.057 786.33
17:01:22.098 782.94
17:01:22.230 785.83
17:01:22.313 789.24
17:01:22.397 786.93
17:01:22.480 783.60
17:01:22.563 786.90
17:01:22.646 786.90
17:01:22.730 782.67
17:01:22.813 784.09
17:01:22.896 788.82
17:01:22.979 788.04
17:01:23.063 784.47
17:01:23.146 787.56
17:01:23.229 788.27
17:01:23.345 783.86
17:01:23.429 783.86
17:01:23.512 787.48
17:01:23.595 786.44
17:01:23.723 781.97
17:01:23.812 784.04
17:01:23.861 786.34
17:01:23.948 782.97
17:01:24.032 782.97
17:01:24.111 787.51
17:01:24.231 787.51
17:01:24.290 784.31
17:01:24.378 785.21
17:01:24.461 786.49
17:01:24.544 783.01
17:01:24.663 781.71
17:01:24.711 784.96
17:01:24.843 786.21
17:01:24.923 783.83
17:01:25.002 783.83
17:01:25.093 786.15
17:01:25.175 785.59
17:01:25.252 784.62
17:01:25.344 786.55
17:01:25.427 787.83
17:01:25.510 786.16
17:01:25.594 784.80
17:01:25.709 786.39
17:01:25.793 785.56
17:01:25.876 783.29
17:01:25.959 785.07
17:01:26.043 788.06
17:01:26.126 787.31
17:01:26.209 785.74
17:01:26.292 788.06
17:01:26.376 788.06
17:01:26.509 786.41
17:01:26.557 787.96
17:01:26.667 790.05
17:01:26.742 788.80
17:01:26.825 786.05
17:01:26.908 788.07
17:01:26.992 788.66
17:01:27.075 786.11
17:01:27.180 786.11
17:01:27.275 789.12
17:01:27.324 789.60
17:01:27.408 786.98
17:01:27.523 788.23
17:01:27.591 790.35
17:01:27.716 784.84
17:01:27.791 783.77
17:01:27.873 792.25
17:01:27.958 791.95
17:01:28.040 779.21
17:01:28.163 785.03
17:01:28.207 794.28
17:01:28.290 780.36
17:01:28.374 774.94
17:01:28.507 794.45
17:01:28.543 792.20
17:01:28.673 769.69
17:01:28.723 782.89
17:01:28.842 798.00
17:01:28.890 772.35
17:01:29.006 764.00
17:01:29.089 793.53
17:01:29.172 787.07
17:01:29.240 760.95
17:01:29.364 779.86
17:01:29.406 795.36
17:01:29.522 768.52
17:01:29.605 766.49
17:01:29.688 795.52
17:01:29.812 782.78
17:01:29.855 761.00
17:01:29.939 785.74
17:01:30.067 793.40
17:01:30.105 766.98
17:01:30.238 771.81
17:01:30.321 794.97
17:01:30.405 780.35
17:01:30.488 767.27
17:01:30.571 790.41
17:01:30.654 792.84
17:01:30.738 767.30
17:01:30.822 777.70
17:01:30.905 795.70
17:01:30.988 777.43
17:01:31.104 765.84
17:01:31.187 792.98
17:01:31.270 790.79
17:01:31.352 766.68
17:01:31.437 781.38
17:01:31.522 795.00
17:01:31.604 772.67
17:01:31.686 766.44
17:01:31.770 792.80
17:01:31.891 783.10
17:01:31.936 759.48
17:01:32.053 781.82
17:01:32.136 797.12
17:01:32.219 770.67
17:01:32.303 770.58
17:01:32.386 795.88
17:01:32.469 785.95
17:01:32.585 766.02
17:01:32.669 793.44
17:01:32.752 789.97
17:01:32.837 758.16
17:01:32.919 772.47
17:01:33.019 798.58
17:01:33.101 771.39
17:01:33.186 759.31
17:01:33.269 793.97
17:01:33.351 787.96
17:01:33.435 759.66
17:01:33.518 784.23
17:01:33.601 796.35
17:01:33.684 759.34
17:01:33.801 757.94
17:01:33.884 792.88
17:01:33.968 779.13
17:01:34.054 752.88
17:01:34.134 783.71
17:01:34.217 791.92
17:01:34.300 767.99
17:01:34.383 780.81
17:01:34.500 800.90
17:01:34.582 774.20
17:01:34.668 767.41
17:01:34.750 800.02
17:01:34.831 790.31
17:01:34.916 763.88
17:01:34.999 785.39
17:01:35.118 798.38
17:01:35.199 769.45
17:01:35.282 782.12
17:01:35.369 804.28
17:01:35.449 780.64
17:01:35.532 763.98
17:01:35.615 797.92
17:01:35.698 796.22
17:01:35.781 762.44
17:01:35.865 781.59
17:01:35.981 803.40
17:01:36.065 773.38
17:01:36.131 769.73
17:01:36.232 794.49
17:01:36.314 784.97
17:01:36.398 777.66
17:01:36.498 796.51
17:01:36.581 798.06
17:01:36.665 782.24
17:01:36.747 798.64
17:01:36.831 805.31
17:01:36.914 796.40
17:01:36.997 803.58
17:01:37.080 821.39
17:01:37.214 809.03
17:01:37.296 802.27
17:01:37.380 817.63
17:01:37.430 817.36
17:01:37.530 809.11
17:01:37.613 823.04
17:01:37.735 825.26
17:01:37.780 821.22
17:01:37.863 820.33
17:01:38.003 822.30
17:01:38.046 822.98
17:01:38.129 822.42
17:01:38.212 823.11
17:01:38.347 823.69
17:01:38.396 823.31
17:01:38.479 822.50
17:01:38.563 822.04
17:01:38.681 821.99
17:01:38.762 822.28
17:01:38.845 822.93
17:01:38.926 823.44
17:01:39.007 823.33
17:01:39.101 822.58
17:01:39.178 821.98
17:01:39.261 822.06
17:01:39.344 822.46
17:01:39.461 822.78
17:01:39.544 823.09
17:01:39.627 823.25
17:01:39.711 822.95
17:01:39.794 822.49
17:01:39.877 822.43
17:01:39.995 822.95
17:01:40.077 823.47
17:01:40.161 823.55
17:01:40.244 823.32
17:01:40.327 822.88
17:01:40.410 822.39
17:01:40.493 822.21
17:01:40.561 822.53
17:01:40.682 822.91
17:01:40.760 823.10
17:01:40.843 822.93
17:01:40.926 822.70
17:01:41.009 822.56
17:01:41.093 822.57
17:01:41.174 822.83
17:01:41.259 823.19
17:01:41.342 823.33
17:01:41.475 823.04
17:01:41.559 822.69
17:01:41.642 822.46
17:01:41.725 822.48
17:01:41.808 822.64
17:01:41.892 822.88
17:01:41.975 823.03
17:01:42.058 822.94
17:01:42.148 822.70
17:01:42.225 822.56
17:01:42.308 822.67
17:01:42.390 822.90
17:01:42.507 823.09
17:01:42.589 823.11
17:01:42.674 822.97
17:01:42.757 822.73
17:01:42.859 822.60
17:01:42.940 822.59
17:01:43.024 822.73
17:01:43.107 822.79
17:01:43.178 822.79
17:01:43.290 822.77
