microsec deg hall1 hall2 accelX accelY
1526238352 0 649 568 -0.23 8.13
1526305948 0 649 569 -0.25 8.11
1526373552 0 649 569 -0.21 8.12
1526441152 0 649 569 -0.23 8.13
1526508752 0 649 569 -0.24 8.15
1526576348 0 649 569 -0.23 8.13
1526643948 0 649 569 -0.24 8.13
1526711548 0 649 569 -0.24 8.14
1526779156 0 649 569 -0.23 8.14
1526846744 0 649 569 -0.21 8.13
1526914340 0 649 569 -0.23 8.12
1526981940 0 649 568 -0.20 8.14
1527049552 0 649 569 -0.22 8.14
1527117140 0 649 569 -0.22 8.13
1527184744 0 649 569 -0.21 8.14
1527252340 0 649 569 -0.22 8.12
1527319940 0 649 569 -0.21 8.14
1527387544 0 649 569 -0.21 8.14
1527455140 0 649 569 -0.21 8.12
1527522744 0 649 569 -0.22 8.14
1527590340 0 649 569 -0.21 8.14
1527657940 0 648 569 -0.25 8.14
1527725540 0 649 569 -0.23 8.14
1527793140 0 649 569 -0.23 8.14
1527860744 0 649 569 -0.24 8.14
1527928340 0 649 568 -0.25 8.15
1527995940 0 649 569 -0.22 8.13
1528063540 0 649 568 -0.26 8.14
1528131140 0 649 569 -0.22 8.14
1528198740 0 649 569 -0.22 8.14
1528266340 0 649 569 -0.21 8.14
1528333940 0 649 569 -0.22 8.13
1528401540 0 649 569 -0.22 8.14
1528469144 0 649 569 -0.20 8.14
1528536744 0 649 569 -0.23 8.11
1528604340 0 649 569 -0.23 8.14
1528671944 0 649 569 -0.22 8.14
1528739540 0 649 569 -0.24 8.12
1528807140 0 648 569 -0.22 8.14
1528874740 0 649 569 -0.23 8.12
1528942340 0 649 569 -0.23 8.14
1529009940 0 649 568 -0.23 8.12
1529077540 0 649 569 -0.24 8.14
1529145144 0 649 569 -0.22 8.13
1529212744 0 649 569 -0.23 8.13
1529280344 0 649 568 -0.21 8.14
1529347944 0 649 569 -0.26 8.13
1529415544 0 649 569 -0.25 8.16
1529483144 0 650 569 -0.22 8.12
1529550744 0 649 570 -0.23 8.15
1529618344 0 649 569 -0.20 8.14
1529685944 0 649 569 -0.22 8.11
1529753544 0 649 569 -0.22 8.13
1529821144 0 649 569 -0.22 8.14
1529888744 0 649 569 -0.22 8.12
1529956344 0 648 569 -0.23 8.14
1530023952 0 649 569 -0.22 8.15
1530091552 0 649 569 -0.23 8.13
1530159152 0 649 569 -0.22 8.13
1530226752 0 649 569 -0.26 8.14
1530294352 0 649 569 -0.24 8.14
1530361952 0 649 569 -0.23 8.11
1530429552 0 649 569 -0.22 8.13
1530497152 0 649 569 -0.22 8.12
1530564752 0 649 569 -0.23 8.16
1530632352 0 649 569 -0.21 8.14
1530699952 0 649 569 -0.22 8.13
1530767552 0 649 569 -0.22 8.13
1530835152 0 649 569 -0.21 8.13
1530902752 0 649 568 -0.21 8.12
1530970344 0 649 569 -0.22 8.13
1531037948 0 649 569 -0.22 8.15
1531105552 0 648 569 -0.22 8.14
1531173144 0 649 569 -0.22 8.14
1531240744 0 649 569 -0.22 8.12
1531308340 0 649 569 -0.24 8.13
1531375948 0 649 569 -0.23 8.11
1531443540 0 649 569 -0.22 8.14
1531511140 0 649 569 -0.23 8.13
1531578744 0 649 569 -0.23 8.15
1531646340 0 649 569 -0.23 8.12
1531713940 0 648 569 -0.23 8.16
1531781540 0 649 569 -0.23 8.14
1531849140 0 649 569 -0.23 8.13
1531916740 0 649 569 -0.23 8.13
1531984340 0 649 569 -0.25 8.13
1532051944 0 649 569 -0.22 8.14
1532119544 0 649 568 -0.23 8.14
1532187140 0 648 569 -0.23 8.13
1532254744 0 648 569 -0.23 8.14
