min:s.ms grams
0:37.804 822.81
0:37.905 822.80
0:38.005 822.80
0:38.052 822.80
0:38.152 822.81
0:38.252 822.82
0:38.306 822.83
0:38.406 822.84
0:38.538 822.84
0:38.584 822.83
0:38.669 822.82
0:38.754 822.80
0:38.854 822.79
0:38.954 822.79
0:39.008 822.80
0:39.108 822.82
0:39.208 822.81
0:39.308 822.83
0:39.355 822.82
0:39.455 822.83
0:39.556 822.86
0:39.657 822.84
0:39.725 822.81
0:39.810 822.82
0:39.910 822.81
0:40.010 822.80
0:40.057 822.82
0:40.157 822.85
0:40.242 822.84
0:40.327 822.83
0:40.411 822.84
0:40.493 822.87
0:40.574 822.88
0:40.692 822.88
0:40.774 822.91
0:40.859 822.91
0:40.959 822.94
0:41.013 822.95
0:41.113 822.92
0:41.193 822.92
0:41.276 822.94
0:41.360 822.93
0:41.460 822.92
0:41.561 822.90
0:41.614 822.88
0:41.730 822.88
0:41.814 822.89
0:41.914 822.90
0:41.961 822.90
0:42.062 822.90
0:42.162 822.90
0:42.262 822.87
0:42.315 822.85
0:42.416 822.82
0:42.497 822.82
0:42.578 822.81
0:42.663 822.81
0:42.778 822.82
0:42.863 822.83
0:42.963 822.82
0:43.017 822.83
0:43.117 822.82
0:43.217 822.83
0:43.317 822.83
0:43.364 822.80
0:43.465 822.82
0:43.565 822.85
0:43.618 822.83
0:43.700 822.83
0:43.819 822.82
0:43.919 822.82
0:44.019 822.85
0:44.066 822.81
0:44.167 822.81
0:44.236 822.85
0:44.320 822.83
0:44.421 822.74
0:44.501 820.97
0:44.583 817.93
0:44.668 818.15
0:44.768 820.48
0:44.868 828.34
0:44.968 825.50
0:45.022 822.37
0:45.122 815.26
0:45.203 818.22
0:45.285 823.17
0:45.370 831.15
0:45.470 829.91
0:45.570 818.06
0:45.623 810.50
0:45.723 817.68
0:45.823 825.16
0:45.924 829.28
0:46.024 826.46
0:46.071 818.16
0:46.174 818.10
0:46.271 822.36
0:46.324 822.60
0:46.425 818.24
0:46.505 813.59
0:46.588 814.70
0:46.674 821.18
0:46.772 822.95
0:46.872 826.52
0:46.973 821.31
0:47.026 812.31
0:47.126 813.19
0:47.226 822.88
0:47.327 821.61
0:47.374 821.33
0:47.474 818.87
0:47.574 813.36
0:47.677 814.14
0:47.728 821.34
0:47.828 822.28
0:47.928 819.88
0:47.975 814.57
0:48.075 811.35
0:48.177 815.21
0:48.276 820.24
0:48.329 823.10
0:48.429 822.65
0:48.530 815.98
0:48.630 815.17
0:48.679 820.65
0:48.777 823.43
0:48.877 824.45
0:48.977 823.41
0:49.031 816.87
0:49.131 815.24
0:49.231 821.98
0:49.332 824.23
0:49.379 823.66
0:49.479 822.83
0:49.579 813.81
0:49.633 812.12
0:49.733 826.57
0:49.833 829.80
0:49.934 814.60
0:49.981 791.98
0:50.081 797.55
0:50.183 822.28
0:50.281 824.81
0:50.335 800.94
0:50.435 792.49
0:50.535 799.89
0:50.635 805.28
0:50.684 798.26
0:50.783 796.54
0:50.883 804.05
0:50.983 801.42
0:51.036 778.40
0:51.137 779.57
0:51.237 808.57
0:51.284 807.15
0:51.384 777.02
0:51.484 772.14
0:51.584 801.77
0:51.638 810.97
0:51.738 785.12
0:51.838 771.03
0:51.938 799.64
0:51.985 813.37
0:52.085 789.04
0:52.188 771.56
0:52.286 793.84
0:52.339 812.16
0:52.439 793.92
0:52.540 771.87
0:52.640 790.37
0:52.673 813.46
0:52.803 798.10
0:52.887 772.38
0:52.988 785.38
0:53.041 811.81
0:53.141 804.59
0:53.242 774.94
0:53.342 779.01
0:53.389 809.98
0:53.489 806.21
0:53.589 776.14
0:53.643 776.57
0:53.743 805.43
0:53.843 810.63
0:53.890 783.09
0:53.990 773.68
0:54.090 804.12
0:54.192 814.83
0:54.291 787.63
0:54.344 773.88
0:54.460 798.64
0:54.507 815.38
0:54.645 793.66
0:54.726 771.55
0:54.808 794.32
0:54.892 817.48
0:54.946 796.30
0:55.046 772.46
0:55.146 791.95
0:55.247 817.01
0:55.294 803.98
0:55.394 775.18
0:55.494 787.24
0:55.594 817.05
0:55.648 804.30
0:55.729 773.66
0:55.848 783.57
0:55.948 813.97
0:55.995 809.81
0:56.095 776.03
0:56.197 779.01
0:56.296 815.14
0:56.349 811.27
0:56.450 775.11
0:56.550 777.14
0:56.650 809.91
0:56.731 812.25
0:56.813 777.43
0:56.897 773.34
0:56.951 810.04
0:57.051 813.26
0:57.151 775.36
0:57.200 771.66
0:57.298 806.52
0:57.399 814.54
0:57.499 780.45
0:57.552 770.31
0:57.653 807.37
0:57.734 814.67
0:57.816 778.21
0:57.954 772.04
0:58.001 804.74
0:58.101 817.55
0:58.202 785.43
0:58.254 773.59
0:58.355 811.32
0:58.435 819.26
0:58.518 781.02
0:58.602 771.69
0:58.690 803.26
0:58.818 818.78
0:58.903 785.04
0:58.956 769.33
0:59.057 807.21
0:59.157 820.57
0:59.236 784.24
0:59.319 772.49
0:59.404 804.65
0:59.504 821.27
0:59.557 790.95
0:59.660 772.64
