596744 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.13
t: 1484664340 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.15
t: 1484731940 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1484799540 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.12
t: 1484867140 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.14
t: 1484934740 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.14
t: 1485002340 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.24 8.10
t: 1485069940 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.12
t: 1485137540 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.22 8.14
t: 1485205140 ESC: 0 Hall Sensors: 649 568 		 Accel: -0.24 8.12
t: 1485272744 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1485340340 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.22 8.13
t: 1485407940 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.20 8.13
t: 1485475540 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.16
t: 1485543140 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.19 8.16
t: 1485610740 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.16
t: 1485678340 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.14
t: 1485745944 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.16
t: 1485813540 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.12
t: 1485881144 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.14
t: 1485948744 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.14
t: 1486016344 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.12
t: 1486083944 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.14
t: 1486151544 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.24 8.12
t: 1486219144 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.13
t: 1486286744 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.23 8.13
t: 1486354344 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1486421944 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.13
t: 1486489544 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.22 8.14
t: 1486557144 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.12
t: 1486624744 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.13
t: 1486692344 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.12
t: 1486759952 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1486827552 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.15
