t [s],y [in],x [in]
0.58,0.291666667,-0.489583333
0.61,0.479166667,-0.489583333
0.65,0.677083333,-0.5
0.68,0.895833333,-0.53125
0.71,1.145833333,-0.541666667
0.75,1.395833333,-0.541666667
0.78,1.645833333,-0.552083333
0.81,1.895833333,-0.572916667
0.85,2.145833333,-0.572916667
0.88,2.395833333,-0.583333333
0.91,2.635416667,-0.604166667
0.95,2.822916667,-0.614583333
0.98,3.020833333,-0.625
1.01,3.229166667,-0.65625
1.05,3.447916667,-0.6875
1.08,3.645833333,-0.708333333
1.11,3.854166667,-0.708333333
1.15,4.0625,-0.71875
1.18,4.260416667,-0.739583333
1.21,4.4375,-0.75
1.25,4.614583333,-0.770833333
1.28,4.78125,-0.791666667
1.31,4.96875,-0.822916667
1.35,5.135416667,-0.84375
1.38,5.302083333,-0.864583333
1.41,5.46875,-0.875
1.45,5.635416667,-0.895833333
1.48,5.78125,-0.90625
1.51,5.9375,-0.927083333
1.55,6.09375,-0.9375
1.58,6.239583333,-0.958333333
1.61,6.375,-0.979166667
1.65,6.510416667,-1
1.68,6.635416667,-1.020833333
1.71,6.760416667,-1.041666667
1.75,6.885416667,-1.0625
1.78,7,-1.09375
1.81,7.114583333,-1.114583333
1.85,7.208333333,-1.135416667
1.88,7.3125,-1.15625
1.91,7.395833333,-1.1875
1.95,7.479166667,-1.21875
1.98,7.5625,-1.239583333
2.01,7.635416667,-1.270833333
2.05,7.697916667,-1.291666667
2.08,7.760416667,-1.322916667
2.11,7.822916667,-1.34375
2.15,7.885416667,-1.364583333
2.18,7.9375,-1.385416667
2.21,7.947916667,-1.427083333
2.25,7.947916667,-1.447916667
2.28,7.71875,-0.822916667
2.31,7.770833333,-0.822916667
2.35,7.822916667,-0.833333333
2.38,7.864583333,-0.84375
2.41,7.90625,-0.854166667
2.45,7.9375,-0.854166667
2.48,7.947916667,-0.854166667
2.51,7.947916667,-0.833333333
2.55,7.947916667,-0.822916667
2.58,7.947916667,-0.802083333
2.61,7.947916667,-0.802083333
2.65,7.947916667,-0.802083333
2.68,7.947916667,-0.8125
2.71,7.947916667,-0.8125
2.75,7.947916667,-0.8125
2.78,7.9375,-0.822916667
2.81,7.927083333,-0.822916667
2.85,7.916666667,-0.833333333
2.88,7.895833333,-0.84375
2.91,7.875,-0.84375
2.95,7.770833333,-1.40625
2.98,7.739583333,-1.40625
3.01,7.708333333,-1.395833333
3.05,7.666666667,-1.385416667
3.08,7.625,-1.375
3.11,7.583333333,-1.364583333
3.15,7.53125,-1.364583333
3.18,7.479166667,-1.354166667
3.21,7.427083333,-1.34375
3.25,7.364583333,-1.333333333
3.28,7.302083333,-1.322916667
3.31,7.239583333,-1.3125
3.35,7.1875,-1.25
3.38,7.114583333,-1.239583333
3.41,7.041666667,-1.229166667
3.45,6.958333333,-1.21875
3.48,6.875,-1.208333333
3.51,6.802083333,-1.177083333
3.55,6.708333333,-1.166666667
3.58,6.614583333,-1.15625
3.61,6.510416667,-1.145833333
3.65,6.395833333,-1.135416667
3.68,6.28125,-1.125
3.71,6.166666667,-1.114583333
3.75,6.041666667,-1.104166667
3.78,5.916666667,-1.104166667
3.81,5.791666667,-1.09375
3.85,5.65625,-1.083333333
3.88,5.520833333,-1.0625
3.91,5.375,-1.041666667
3.95,5.21875,-1.020833333
3.98,5.072916667,-1.010416667
4.01,4.916666667,-0.989583333
4.05,4.760416667,-0.979166667
4.08,4.614583333,-0.96875
4.11,4.447916667,-0.958333333
4.15,4.28125,-0.9375
4.18,4.114583333,-0.927083333
4.21,3.9375,-0.916666667
4.25,3.760416667,-0.90625
4.28,3.572916667,-0.895833333
4.31,3.395833333,-0.885416667
4.35,3.208333333,-0.875
4.38,3.010416667,-0.864583333
4.41,2.802083333,-0.854166667
4.45,2.583333333,-0.833333333
4.48,2.375,-0.822916667
4.51,2.15625,-0.8125
4.55,1.916666667,-0.791666667
4.58,1.697916667,-0.78125
4.61,1.46875,-0.770833333
4.65,1.239583333,-0.760416667
4.68,1,-0.75
4.71,0.760416667,-0.739583333
4.75,0.510416667,-0.729166667
4.78,0.239583333,-0.708333333
4.81,-0.020833333,-0.6875
4.85,-0.291666667,-0.677083333
4.88,-0.541666667,-0.666666667
