Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= 0.06 	|z= 0.00	Linear:	|x= -0.04 	|y= -0.02 	|z= -0.23	Mag:	|x= -10.69 	|y= 16.19loadCell: 751.61Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= -0.12 	|z= 0.00	Linear:	|x= -0.03 	|y= 0.00 	|z= -0.24	Mag:	|x= -11.00 	|y= 15.38 	|z= -32.88	Accl:	|16 	|y= 0.88 	|z= 9.76		
|y= 0.88 	|z= -5.13	x= -11.00 	|y= 16.87	
Rot:	|x= 0.06 	|y= -0.06 	|z= -0.06	Linear:	|x= -0.02 	|y= -0.01 	|z= -0.25	Mag:	|x= -11.00 	|y= 15.75 	|z= -34.50	Accl:	|x= 0.12 	|y= 0.87 	|z= 9.51	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.62Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= -0.06 	|z= 0.00	Linear:	|x= -0.03 	|y= -0.03 	|z= -0.24	Mag:	|x= -12.06 	|y= 16.56 	|z= -33.69	Accl:	|x= 0.12 	|y= 0.84 	|z= 9.51	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.62Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= 0.06 	|z= 0.19	Linear:	|x= -0.03 	|y= -0.02 	|z= -0.26	Mag:	|x= -11.00 	|y= 16.19 	|z= -33.25	Accl:	|x= 0.12 	|y= 0.85 	|z= 9.50	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.62Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= -0.06 	|z= 0.12	Linear:	|x= -0.04 	|y= -0.02 	|z= -0.22	Mag:	|x= -11.75 	|y= 15.75 	|z= -33.69	Accl:	|x= 0.13 	|y= 0.86 	|z= 9.54	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.62Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= 0.00 	|z= 0.06	Linear:	|x= -0.02 	|y= -0.01 	|z= -0.23	Mag:	|x= -10.69 	|y= 15.75 	|z= -34.50	Accl:	|x= 0.13 	|y= 0.86 	|z= 9.53	AloadCell: 751.63Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= 0.06 	|z= 0.12	Linear:	|x= -0.02 	|y= -0.02 	|z= -0.24	Mag:	|x= -10.69 	|y= 16.19 	|z= -34.88	Accl:	|x= 0.13 	|y= 0.85 	|z= 9.51	Accl:	|x= 0.loadCell: 751.61Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.00 	|y= 0.19 	|z= -0.06	Linear:	|x= -0.01 	|y= -0.01 	|z= -0.21	Mag:	|x= -11.38 	|y= 16.19 	|z= -33.69	Accl:	|x= 0.13 	|y= 0.88 	|z= 9.51	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.60Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.12 	|y= 0.25 	|z= -0.06	Linear:	|x= -0.01 	|y= -0.02 	|z= -0.24	Mag:	|x= -11.75 	|y= 16.19 	|z= -34.06	Accl:	|x= 0.14 	|y= 0.85 	|z= 9.52	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.60Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= -0.06 	|y= -0.06 	|z= -0.06	Lin0.15 	|y= 0.85 	|z= 9.50	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.61Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= -0.12 	|y= 0.12 	|z= 0.12	Linear:	|x= -0.01 	|y= -0.01 	|z= -0.26	Mag:	|x= -10.69 	|y= 17.25 	|z= -34.06	Accl:	|x= 0.13 	|y= 0.85 	|z= 9.53	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.62Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= -0.12 	|z= 0.00	Linear:	|x= -0.02 	|y= -0.03 	|z= -0.25	Mag:	|x= -11.38 	|y= 15.75 	|z= -33.69	Accl:	|x= 0.13 	|y= 0.84 	|z= 9.50	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.65Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.12 	|y= 0.12 	|z= 0.00	Linear:	|x= -0.03 	|y= -0.03 	|z= -0.24	Mag:	|x= -9.88 	|y= 16.56 	|z= -34.06	Accl:	|x= 0.12 	|y= 0.84 	|z= 9.53	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.67Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= 0.00 	|z= 0.00	Linear:	|x= -0.02 	|y= -0.02 	|z= -0.22	Mag:	|x= -10.25 	|y= 15.75 	|z= -34.50	Accl:	|x= 0.13 	|y= 0.85 	|z= 9.54	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
loadCell: 751.68Orient:	|x= 359.00 	|y= 0.88 	|z= -5.13	Rot:	|x= 0.06 	|y= 0.12 	|z= 0.00	Linear:	|x= -0.02 	|y= -0.02 	|z= -0.23	Mag:	|x= -11.75 	|y= 16.56 	|z= -33.69	Accl:	|x= 0.13 	|y= 0.85 	|z= 9.52	Accl:	|x= 0.16 	|y= 0.88 	|z= 9.76		
